product_category,star_rating,review_headline,review_body
Apparel,4.0,Discrete and modern,"This watch is modern, small and the crystal accessories makes it a good choice, and has a good price.<br /><br />For the price this watch is a good choice, Nothing exuberant, simple, modern, and looks good."
Apparel,5.0,KEENly Addictive...,Love wearing this everyday which I bought a year ago. Can't wait for it to wear out that I bought another Newport H2!
Apparel,5.0,My girflriend loved it.,"I bought the watch as a christmas present for my girlfriend and she absolutely loved it, the watch itself is really beautifull and it looks great when worn."
Apparel,5.0,Beautiful Watch,Looooove this watch. It looks great on. You can dress it up or down and always looks beautiful. My favorite watch.
Apparel,4.0,Beautiful watch,"It's a beautiful watch, has a delicate design and very feminine; eventhough it is a little bit shiny for daily use. In my opinion it looks better on picture than personally."
Apparel,5.0,love it,excelent product will purchase it again. it was a gift and the person love it as well as me.  the weight and the size are excelent
Apparel,5.0,Great watch,This is a Christmas gift for my 12 years old daughter. The watch came in on time. My daughter absolutely loves it in spite of the fact that she couldn't wear it until after New Year since we had to go to a local Jewelry store to re-size the band. It is prettier than it appears on the posted pictures.
Apparel,5.0,Beautiful Watch,"This watch is classy and elegant, while still being casual enough to wear with any outfit.  The subtle flower motif (which is hard to see in the image)is really lovely, feminine and fun."
Apparel,3.0,the build quality is a bit disapointing,"The watch is okay, but the crystal stuff on the band was easily been detached. A bit disapponited with the swatch quality."
Apparel,3.0,beautiful but hard to use,"This watch is beautiful, but its jewelry clasp is very hard to open.<br />I have even considered seriously to return it because I can't open the clasp.<br />But anyway, I keep it for its good look."
Apparel,3.0,Not what I ordered,"The key chain I ordered was not received. I have contacted this company but they have not responded to my inquiry. I ordered a round \\""spinner\\"" key chain and what I received was a one-sided square key chain."
Apparel,5.0,Excelente reloj.,"Es un excelente reloj con un costo bastante bueno, recibi el producto de forma rapida y en perfecto estado. Muy buen proveedor !!"
Apparel,5.0,My wife loves this,I gave this to my wife on her birthday and she loved it. It's funny how the frog looks when it's full. It has a happy face because you have a lot of change. Awesome!
Apparel,2.0,nice,everything is fine the same as the picture.<br />It is a very cool watch and very nice.<br />with all its papers.
Apparel,4.0,bueno,muy bueno lo recomiendo es excelente servicio de compra venta hasta miami. Es un buen producto y satisiface mis necesidades
Apparel,5.0,Ram in mounts the best.,"This accesory is exelent funcional with a great quality. The seller very recomendable, honest. The shipping was very fast. The item is very importante to hold for any function do you needed."
Apparel,5.0,me encanta....,"hello excellent article, packed all my expectations, an unused item with great quality and finish, the service was very warm and Rapides, and recommend it when I can buy more, I give you my word these people know what it does, buy here. ..!"
Apparel,5.0,Cool,This watch looks good. I hope this works well too. I bought this as a b'day gift to my best buddy.
Apparel,5.0,pretty for causal wearing,"it fits perfectly for young girls.  Just a bit cheap-looking with the plastic back.  But at this price $65 around, one has no regret."
Apparel,5.0,RAM is the best,"All of these mounts are solid, vibration free even on a motorcycle and flexible enough to position items conveniently. I used this one for an X-grip to mount my cell phone."
Apparel,3.0,"Great watch, horrible shipping job","Love the watch, just glad it was for me and not a gift for someone else, because the box it came in was smashed to pieces."
Apparel,1.0,Disappointed!!,"I bought this for my husband who loves Pink Floyd, but it broke within the first day.  It was hardly used and it fell apart!"
Apparel,3.0,Really Small,The quality of the watch was poor and it felt really cheap and was very small. Not worth the money and the stones tend to fall off.
Apparel,5.0,Highly recommend it.,"As usual it was delivered a day late, but I am thrilled with this watch and it was worth the wait.  It is lightweight - sometimes I don't even know I'm wearing one, and it's very pretty.  I was hoping it would be one of the thin watches, but it's not particularly big and it's very comfortable.  I would recommend it to anyone looking for a pretty watch that can be worn for special occasions or every day."
Apparel,5.0,"Love it,",I purchased this watch back in 2008 for my wife and she loves it. Swatch is one of the very best swiss made watches which its prices are afordable and make no mistake swatch last longer.
Apparel,3.0,Super light but sweet Swatch,"This Swatch is more of a bangle bracelet. It fits me quite large. The face of it was scratched but I needed a watch so I'm not going through the trouble of returning it. The colors are very sweet pastel and it is easy to read. Look forward to wearing it. I may take it to the Swatch store and have them take out some links, I can put it on without even unlatching it."
Apparel,5.0,Children like,"Buy gifts for children, children like it very much, very beautiful。Whether accurate as also don't know, use for a period of time and have a look。"
Apparel,4.0,"Bought it for $30, Good for the price","The watch looks really beautiful and pretty for a girl. Keep in mind that the watch is really small and the dial is plastic, but if you have small wrist or the person you are going to give it has small wrist this is the way to go. Luckily, my gf has a small wrist which the watch looks pretty on her wrist. I got it for $30 dollars, i knew something was off, then when the package came, the box was broken , it have crack on the cover,  but the watch was intact and safe.  For $30 dollars what can you expect?"
Apparel,5.0,i like it,This watch looks good. I hope this works well too. I bought this as a b'day gift to my best buddy.
Apparel,5.0,The perfect watch,I've looking for michael kors watch for a while but I could not decide which one I wanted until I saw this watch. Gorgeous and it looks spectacular. I'm in love with it. My husband loved it and in an affordable price. I recommend it.
Apparel,3.0,Very nice...love it.,Beautiful watch...need to have some links remove to fit my small wrist...I gave a 3 because no bill of sale received
Apparel,5.0,All is well.,Nice watch and good quality. Except the watch band is too too long.I have to buy tools to fix it.
Apparel,4.0,Just Gorgeous!,"I just adore my new authentic MK watch! I received lots compliments. However,  I have to have a few links removed.  Overall great product and I would definitely be a  returning customer!"
Apparel,5.0,"a true beauty, i wear it every single day","Just what i expected and then some. Even more beautiful in person. Big, bold fashion statement. Love love love it"
Apparel,5.0,Beautiful watch,Watch is beautful and exactly as it appears online. This watch is a value as it is a significant savings over prices in stores.
Apparel,1.0,cheap,"Really, it is what you pay for, the center is plastic, not glass as it appears.  Really crappy thing, have no idea how to shorten the band. It sits on the counter, never used it."
Apparel,2.0,Goldtone fades after a few wears.,The goldtone on these watches fades and the steel shows through.  This after only 5 wearings. I would not buy this watch again because it will look nice for a short time.
Apparel,5.0,Perfect gift for a special someone,"This watch is the perfect accessorie for a clasical style, it can be use for many event and many situations,<br />being formal causal o sporty"
Apparel,4.0,Fit for the purpose,"While the DSC HX50v is an aim-and-shoot camera, the camera design combined with this case will change the game a bit.  It feels like I have gone 20 years back in time.  This said, the jacket / case is a good fit.  It protects, to an extent, from falls, and dust.  You can charge the camera and connect it to your computer with the covers on.  The leather used to make this is not genuine, which I cannot complain about as we are seeing less genuine leather in cars, bags, and a few other things.  Overall, I like it,"
Apparel,5.0,Beautiful,"Excellent product, good quality, the design is great, I recommended 100%. Is a nice watch. My wife is very happy with his watch."
Apparel,5.0,Very comfortable,"I have a very large watch collection,from cheap to high end. This watch fits into my rotation very well. the silicone strap is comfortable and resembles leather. Very happy with this watch."
Apparel,5.0,Reliable Choice,"Like many others in the Swatch line, this timepiece is attractive, has a comfortable strap and is easy to read. Because of its reasonable price, it can be part of your Swatch collection, worn to match a particular outfit or a particular occasion. This version with the black face and vibrant red strap has become a goto selection for me."
Apparel,5.0,Five Stars,Quality anx beautiful
Apparel,5.0,Get it!,"Love the watch. I originally saw it at the New York Airport at the Swatch store. I really liked the fact that they are water resistant and the rubber strap is very nice and comfortable. I bought it from Amazon a lot cheaper then at the Swatch store, saved me like $30. awesome fit and feel."
Apparel,5.0,Five Stars,good
Apparel,5.0,A good choice for a lady who likes a little sparkle,I collect Swatch watches and received this as a gift from my husband. It's pretty and dainty but fun and modern. It can dress up an outfit or be worn everyday as a little sparkle and personality to any attire.
Apparel,5.0,Five Stars,excellent
Apparel,5.0,As Christmas gift for my girlfriend. She loved it.,"I bought this for my girlfriend and she loves it. Michael Kors watches are hot now and I got this one at a reasonable price.<br /><br />If my girlfriend is happy, of course I'm happy."
Apparel,5.0,Beautiful and elegant,Beautiful and elegant.  It was a gift for my sister who is small and petite.  The piece is a bit large but not too big considering the current style.  She loved it.
Apparel,4.0,"Good watch, not great","Good watch, not great. The crystal is plastic, prone to scratches<br />The band is plastic, causes me to sweat more. Will change it out for a leather one, but it love the orange band....<br />Face is large and easy to read by my aging eyes!<br />Amazon price was great."
Apparel,5.0,Five Stars,Very good and I'm so happy.
Apparel,5.0,Five Stars,very nice
Apparel,3.0,not like others swatch watches I have,"does not work properly date change.. at little rough feeling machine inside, not like others swatch watches I have."
Apparel,5.0,Five Stars,Love it!
Apparel,5.0,Five Stars,Beautiful watch. Even prettier in person. I've had the most compliments.
Apparel,5.0,Five Stars,Exelent
Apparel,5.0,Beautiful watch!,Authentic michael kors.  Excellent price.
Apparel,5.0,Five Stars,Amazing watch. I love it!!
Apparel,5.0,Love Michael Kors!,Love this watch.....get great compliments every time I wear it.
Apparel,4.0,Four Stars,Pretty cool but date setting is a bit complicated
Apparel,5.0,Five Stars,Excelente
Apparel,5.0,Five Stars,Lindo!
Apparel,5.0,BEST WATCH I'VE OWNED!,"I bought this watch at a high end jewelry store in Switzerland.  I love love love this watch!  I had Swatches as a teenager...the plastic band kind, and I thought it would be neat to buy one in the country where they originate.  I've worn this watch almost every day for over 5 years.  Yes, it has a few scratches on the face, but nothing that's really noticeable.  I've only changed the battery once.  And yes, the ticking is loud to some, but that's what Swatch is known for!  I did have a couple links removed at the jewelry store where I bought it, so those who say it can't be done are wrong!  Buy this watch if you're looking for something a little dressy with a bit of bling!  You won't be disappointed!"
Apparel,2.0,Two Stars,I live in Virginia. After three weeks its screen became foggy while it claims it is waterproof.
Apparel,5.0,Five Stars,Prettier than picture..
Apparel,5.0,better material and feel than I thought!,A lovely addition to my keychain.  Perfect gift for any Pink Floyd lover!
Apparel,4.0,this is a very beautiful watch. the color and detail is amazing,"this is a very beautiful watch. the color and detail is amazing. a very classic and elegant watch. my boyfriend loves it, he thinks it's a guy watch because of it's size. which is the only down fall, it has a lot of weight to it, but the price of beauty."
Apparel,1.0,One Star,"it was good for a while, once my keys fall down and this keychain broke"
Apparel,5.0,Five Stars,Very classy love it one link too big though
Apparel,1.0,Very said because it's a beautiful watch. Returning asap,"When I pulled the watch out of the box, the links just fell apart.  Had it put back together, and they fell apart again! Very said because it's a beautiful watch. Returning asap!"
Apparel,5.0,Excellent,Excellent and unexpensive
Apparel,5.0,Five Stars,very good
Apparel,5.0,"Face scratches easily, but this is the only downside","I have this watch for almost 5 years. No crystals have been detached yet. I changed a battery twice. Face scratches easily, but this is the only downside. I am very pleased with a quality."
Apparel,2.0,Cute but cheap,This watch is cute but cheap. If you are used to good quality or heavier watches it will be an adjustment. I most likely will not purchase a watch of this brand again.
Apparel,5.0,Five Stars,Perfect!
Apparel,5.0,I'm confident he will really like it.,"Jury is still out on this one. Got it as a Christmas gift for my grandson, I'm confident he will really like it."
Apparel,5.0,Five Stars,Its great. I love it!
Apparel,5.0,Five Stars,Love it
Apparel,5.0,amazingwatch fast,amazing watch fast shipping
Apparel,1.0,Crumby packaging,I was very disappointed in the way I recieved this product. First of all the plastic case it came in was all scuffed up and the plastic case was also broken so it won't stay shut. And the watch was ticking away so who knows how long the battery will last now. It looks like it was probably returned by someone and then sent to me. I chose not to return it because it is an Xmas gift and I would not have had time to send it back and get a new one. The watch itself seemed to be okay.
Apparel,5.0,Five Stars,This was my first Micheal Kors watch and it is absolutely stunning!!! Loving it!!
Apparel,5.0,Five Stars,Great watch!
Apparel,5.0,This watch is exactly as promised. It is light ...,This watch is exactly as promised.  It is light on my wrist.  Flashy without being too dressy.  The right size for small wrists.
Apparel,5.0,Five Stars,Very good product very good attention by the seller
Apparel,5.0,big face watch,got this for my girl she love the watch!
Apparel,5.0,Five Stars,very nice. im in love
Apparel,4.0,Four Stars,long time ago purchasing. it's okay
Apparel,5.0,Five Stars,Love it .......
Apparel,5.0,Nostalgia of a generation,This is not the original of the 80s but it helps br
Apparel,5.0,Five Stars,great!
Apparel,5.0,Five Stars,Very Good
Apparel,2.0,i like the watch very much-typical Swatch…lightweight and comfortable,"i like the watch very much-typical Swatch…lightweight and comfortable.  However, the one that was sent to me tells time accurately but the day of the week does not work, so it will forever be Tuesday when i wear this watch.  Not great to see on a new product but otherwise like it very much."
Apparel,5.0,Five Stars,great watch! It arrived on time :)
Apparel,5.0,Five Stars,Fits perfeect! gets so much compliments.
Apparel,4.0,You get what you pay for,"Most Swatch watches are cheap, durable, practical, and handsome.  This one's no different, really.  I work with a lot of folks who wear flashy, expensive watches, and yet my orange band Swatch seems to be the only one that catches anyone's notice.<br /><br />Pros:<br />- Tells the time.<br />- Handsome.<br />- Orange is cool.<br />- Durable.<br />- Battery is super accessible.<br /><br />Cons:<br />- Visibly cheap.<br />- I would've liked some form of illumination for checking the time in the dark."
Apparel,5.0,Love it arrived as promised Betty Zimmer,Love it  arrived as promised<br />Betty Zimmer
Apparel,5.0,Five Stars,is expected and recommend the product
Apparel,5.0,Five Stars,muy bueno
Apparel,2.0,Beautiful watch!,It is wonderful!
Apparel,4.0,Great buy. Pretty snazzy and,Husband likes it. Wears it everyday to his construction job and it hasn't fallen apart. Great buy. Pretty snazzy and different
Apparel,5.0,Five Stars,Swiss quality and McDonald's price.  Looks great
Apparel,5.0,Five Stars,Gorgeous!
Apparel,4.0,Pretty watch.,Pretty watch. I took out some links to shorten the bracelet....would take to a jewlery next time. I wish the silver was not quite as bright looking.  Numbers on dial a tad hard to see for this ol' gal.
Apparel,5.0,Five Stars,good watch
Apparel,2.0,Get a BlackRapid SNAPR-20 instead,"I have this case in green, from my Limited Edition Ricoh GR, and while it does the job of holding the camera, the worst thing about this case is how the flap comes off so easily.<br /><br />It snaps to the back of the case using two snap buttons, and I've almost lost it (the flap) countless times. I have zero confidence in attaching this case to my belt, and am constantly worried about it coming off while I'm on the go.<br /><br />I have no idea why Ricoh would come up with such a poor design for this case, when a simple loop (similar to what handgun holsters have) would do a far better job keeping the camera securely in the case - it's not as though this flap is going to do a great job of keeping out water and dust."
Apparel,4.0,"Awesome watch, cool band, but the face is too big for the average woman's arm.","Very cool watch. I'm a Giants fan and I thought this is an awesome black and orange watch. I loved the band too. However, I am not petite in any way and this watch says it's unisex, but I'm so bummed because the face is just too darn big.  So I've returned it. 😕"
Apparel,5.0,Five Stars,Great watch..love Swatch! It's a perfect watch for everyday use.
Apparel,5.0,Five Stars,Great watch! Love it! Swim in the pool or take a shower and still looks brand new!
Apparel,5.0,Five Stars,My wife loves it!
Apparel,4.0,Four Stars,I like it
Apparel,5.0,Five Stars,"Great watch, my girl loved it!!"
Baby,5.0,Works fine.,"Does what it's supposed to do, doesn't leak.  I find it very convenient that you can turn your bottles into storage containers. I recommend the whole Avent line from the pump to these sealers."
Baby,1.0,Had hoped it would be good,"This mobile looked and sounded (from the description) like a great mobile.  Our son loves to watch things move and loves animals.  Unfortunately the music was SO soft even on the loudest setting and the mobile itself was SOOOO slow that it would not keep his attention at all.  Looks like a great mobile but just didn't live up to its description.  Also, if you have a crib that does not have straight sides (e.g. there are some curves) the mobile attaches to it but it's very temperamental when it comes to the movement - you have to move the mobile to try to get it to work.  Not the best unfortunately."
Baby,4.0,Son loves it,"My son loves this mobile, it is a bit quiet but still keeps his attention and he loves to watch the leaves and animals move around."
Baby,2.0,Child loves mobile but two were defective,"Our daughter loves the mobile, she laughs every time the peek-a-boo leaves open to reveal the animals. Unfortunately both mobiles that we have bought have failed, none of the music buttons will work except the forest sounds. The sound is also very soft."
Baby,5.0,Love it!,"We bought this for my 3 month old son and he loves it.  There are many nights that he has fallen asleep by watching the peek a boo leaves open and close.  I think the level of volume is perfect.  After reading some of the other reviews, I was a little hesitant to order it, but remember- <br />It is not supposed to stimulate your baby!  It is to lul them to sleep!  I also like that you can remove the mobile part and leave the the base on just for the classical songs. <br />I would recommend this product-like I said I love it!"
Baby,5.0,My son loves this mobile!,"This mobile sends him off to sleep every time.  I love that the music lasts so long--with the wind up ones, he would just start to settle down when it would shut off.  There are two volume levels; usually the quieter one is enough for bedtime.  My only (minor) complaint is that the remote control for it makes a loud clicking sound when you press it (enough to make him stir, but not wake up)."
Baby,5.0,I chose this one because it's soothing,"I compared reviews on this mobile along with the TinyLove mobile called Symphony in Motion and the Fisher Price Ocean Wonders mobile.  I really like the fact that Symphony in Motion is award winning but the biggest drawback to that one is the fact that it can actually keep babies awake because of how active it is.  And I like the Ocean Wonders mobile because of the ceiling projection but the drawback there is that people said you pretty much have to have the room pitch black dark to see those images well.  Since we keep a night light on for our little one, we decided against that one too.  In the end, we chose the Fisher Price Rainforest mobile because it seemed to be the most soothing and we were NOT disappointed.  She tries hard to stay awake and watch the leaves go and colorful animals go round and round.  But there's something about the slow speed of the rotation along with the jungle noise and/or classical music that just makes her drowsy everytime.  My husband and I are VERY pleased with this purchase."
Baby,5.0,I want one!!,"If they made one of these things for adults, I'd get one!!  My daughter LOVES this thing.  It's got that crinkle-sounding paper that babies seem to love, and spins really easily. The colors are really bright and everything is easily accessable for little arms and hands.  I have already told my pregnant friends that they need to get one of these!"
Baby,5.0,held head up in days,"My newborn hated tummy time on the floor. Would lay his head down and just cry, just like my daughter had. I bought the lamaze spin and explore, and he loved it. Within days, he could hold his head all the way up for minutes at a time, and now that he is four months old, he spins himself around playing with the different toys attached. Great buy!"
Baby,4.0,Plenty loud enough,"Check to see if the crib or play-yard you intend this for will actually work with it.  When mine didn't, I decided to attach it (secure and safe) to my headboard.  Curious about reports that it's not loud enough, I laid down and had a listen.  It's plenty loud enough, even at a distance of 2.5 feet overhead.  Remember, your infant hasn't spent time in front of the speakers at a Counting Crows concert!  When the baby (9 weeks old) finally got a shot at it, he was enchanted, stimulated, very excited.  So much for soothing -- but it's wonderful to know that while I'm having to fold laundry he's watching the bright colors and listening to lovely music.  A great addition to the day with baby..."
Baby,5.0,Daughter LOVES This Mobile!,"My little girl has had this mobile in her crib since she was a couple weeks old and she has always loved it. She used to just watch the animals move around and fall asleep to the soothing music. Now she will turn her head to watch the base when it lights up. This was a great buy for us. My only complaint would be the little remote that comes with it. The clicker is very loud... which, if you are using the remote, it's because you are trying to turn the mobile on without being seen and the loud click gets my girl's attention every time. We just don't use the clicker anymore but the fact remains that she loves the mobile itself. She'll be bummed when we have to take it down!"
Baby,5.0,Love it!!!!,I love this mobile so much that I ended up buying one for my 3 month old niece.  They love it too!!  This is one of the best mobiles because of the movements and the colors as well as the fact that you still have a little night light with a music box when you detatch the mobile part.  Not to mention that it plays music for close to 20 minutes.  My 13 month old loves it (and so does my 4 year old).  He is just mesmerized by it when he's tired and amused with it when he wakes up and turns it on after he's done sleeping.   <br /> <br />I was a little reluctant about this mobile when I read some reviews about it being too quiet.  I wanted to set the record straight.  The mobile is quiet...but it's for a baby and you are trying to lull them to sleep so how loud do you want it to be?  I think that the volume is perfect but if you prefer to make it louder or the house is loud you can switch it to a louder volume but we always keep it on the softest and it's just fine. <br />I highly recommend this mobile.
Baby,5.0,Great Mobile,"As a new mom I was looking for something that would hold my daughter's interest.My 1 month old daughter loves this mobile. We put it on her crib & she slept there the entire night without a fuss. The night light is just right to soothe & the sound level is perfect. During the day, I get my work done with her totally occupied with the bright colours & \\""jungle\\"" sounds. Easy to assemble & great price...couldn't ask for better. My only problem with it, are the batteries..it eats them up, solved that problem by using recharables. <br />All in all, one fantastic mobile."
Baby,4.0,mobile,"My only complaint is that the remote is loud, so we never use it.  The music is great, although, some of the music is programmed under the wrong composer.  Oh well.  I guess the babies aren't reading the composers' names anyway!"
Baby,1.0,disappointed,I have many of the fisher price items and have most of the rainforest products but found this disappointing.  Child showed very little interest in it and had no growth potential for her.  I will continue buying the rainforest collection hope to have better luck.
Baby,5.0,So cute and very durable!,"The colors on the product are awesome, the blanket feels very soft and got different toys on the different paddles, I wished they'd make something bigger for adults like that *haha*! The spintable with it is very good sized, supercute im Ladybug design adn spins very easily! though not meant for Toddlers my son gave it a try to and the Spinner did not even squeach under his 42lbs, nor break and still spun if he managed to keep all of his much bigger then a Babies limbs of the floor!<br /><br />My 6 month old daughter still fits on this toy very well at almost 26inches tall and 17lbs. She is fascinated by the colors just like me and loves the mirror especially whis is on one of the paddles fixed on Velcro!<br /><br />Like my son she does not like Tummytime very much either,and this toy doesn't seem to make it much better, but htat has NOTHING to do with the Toy. She just doesn't like being on her Tummy, probably since she has reflux! The spintable is very well formed lower on the hippart and a tinybit higher where she shoulders go, so she doens't mind the spin table, she just does not like lifting  her head out of the floorposition, so she doesn't stay much longer on this one on her Tummy then she would otherwise but we'll keep trying!<br /><br />The flowermat I wished would be bigger, it is as big as described in the productlisting, but just for me I'm thinking to myself it wouldn't hurt to make the mat twice as big as it is, if a Baby doesn't like the spinner it can still use the beautyful flowermat for rolling around and checking things out ect.!<br /><br />I'd recommend it to anyone it really is worth trying just don't give up!"
Baby,5.0,Great option for infants who hate tummy time!,"There weren't many things my daughter did not like...but, tummy time was a nightmare.  Until, that is, I purchased this wonderful gym.  I suspected that she would like it becasue she is naturally curious- and I was right.  She squeals with delight as she spins herlself around....and that makes me very happy!"
Baby,5.0,lamaze spin and explore garden gym,"I ordered this for my Grandchild who is now 4 months old and his parents tell me he loves it. It keeps him busy, its good quality . I would reccommend this item ."
Baby,5.0,Great product,"My baby loves this new gadget which makes tummy time a fun activity. We started using it at 3 month and he was able to hold his head up for a minute at first, but I guess it strengthen his neck muscle  pretty well because he is able to enjoy it for at least 5 to 10 minutes at 4 month. Kids that young only spin themselves accidentely, but he loved the bright colors and the cringing sound of the fabric his hands touch. He also loves when I spin him around. I can't wait to see when he will discover that he can do it by himself. I would recomend this toy, and since two parts are detachable, you can use a mat by itself for senses explorations."
Baby,3.0,Nice mobile but way too quiet,"Our twins have two different mobiles to keep things interesting. While they enjoy watching this one move, they soon lose interest. I think it's because you can barely hear the music. Another problem is that the remote clicking is so loud that it defeats the purpose. What I do like are the cute and colorful animals and the nice movements. It's pretty good product, but I wouldn't buy it again unless they turn up the volume quite a bit. Overall - attractive, but disappointing."
Baby,2.0,Very uncomfortable,"I bought this playmat for my 8 week old and she hated it. Everytime I put her on it, she would get uncomfortable and cry. I guess it would work better with babies who have already developed enough neck support."
Baby,5.0,Lamaze Garden Gym-Tummy Time Toy,"We received the garden gym as a gift and loved it instantly.  Even though it was a little early, I would place my 3 week old on it and just spin her around, playing with each item.  The fact that it was an \\""activity\\"" and she didn't cry made it an instant hit in our house.  Now that she is almost four months old, she is enjoying it even more.  Its a great alternative to an activity mat, as the babies can actually see the colors and toys, while the \\""potato chip\\"" spinner allows them to see a variety of things as opposed to being stuck with one vision.  I will definately buy this gift for all of my friends who have new babies."
Baby,5.0,Tummy time life saver,"I read about this product in a parenting magazine and immediately decided to purchase it.  I looked on several web sites and read many reviews before coming to Amazon to buy.  This is one of the top 3 purchases I've made for my child!!!  Before this little item came along my daughter would scream in frustration during tummy time and become almost inconsolable if we tried it for more than 2 minutes.  I did every conceivable thing to make tummy time better for her with no luck.  The moment I put her on the spinner she was interested and alert, NO CRYING!  Naturally we started slowly with 5 minute intervals and have been working our time up but the fact that there are no more tears of frustration makes this thing worth it's weight in gold."
Baby,4.0,Great Mobile,"This mobile really is nice because its great for a boy!  I was finding a lot of the mobiles out there were kind of girly.  The mobile is soothing, colorful and is just great.  However, if there is only one thing I could change it would be the volume.  It has 2 volume settings however, they are both low.  That is why I only gave this mobile 4 stars.  Other wise its perfect!"
Baby,1.0,Waste of my money,"My son was/is not interested in this product. He may tolerate it  for a minute or 2, but that's not worth $40 to me. I was really excited about this, in hopes that he would enjoy his tummy time more, but that just was not the case."
Baby,5.0,"LOVE, LOVE, LOVE this mobile!","Did I mention I LOVE this mobile....more importantly my daughter LOVES this mobile.  After buying an endless supply of baby things to occupy my daughter even long enough to get the bottles washed, it all comes back to this mobile.  She is mesmerized by it and has a kicking good time in her crib because of it.  I don't have volume issues like others here, and the selection of music is great--although she seems to prefer Beethoven :)  In fact, if a ruckus is being heard from that direction, nine times out of ten it is because the music/motion has stopped.  A simple re-start does the trick.  I am serious.  I can get as much as an hour to do things around the house.  This is worth every penny, and knowing what I do now about it, I would have paid double!"
Baby,4.0,a very beautiful toy,"I like this mobile, the leaves moving up and down, the animals slowly moving around. this is lovely, with soft music for baby, and even a little night light. This is a gorgeous exotic looking mobile. It is pleasant to look at and always catches my sons eye.<br /><br /> This does run on big batteries, not included. It requires some assembly. I was able to put it together :) must have a philps screwdriver.<br /><br /> The music is ok, but none of the music is listed under the correct composer, that isn't a serious problem at all, but something worth noting. Mozart plays bach, Bach plays Beethoven, Beethoven plays Mozart. This is a good quality product, just what I wanted, and I think i love it more than my son does."
Baby,4.0,ehhh....,"This is a nice toy, and very innovative.  We bought it for my second child. However, I don't think it sped up any developmental progress in comparison to the first child.  He does have fun on it though and it gives him something to do while I am chasing his older brother around."
Baby,3.0,Lamaze Spin & Explore Garden Gym,I bought the Lamaze Spin & Explore Garden Gym for my daughter of 2 months. The toy said it could be used from day one. I was upset to know that is not the case. If the child is not capable of maintaining its head held upright it just soft of squirms and wobbles on the toy and cries for help. This toy should be rated 3 months and up not zero to 5. Other than that the price was great and my daughter really enjoys looking at the colors of the toy even if she cant play with it yet.[[ASIN:B000I2MRHE Lamaze  Spin & Explore Garden Gym]]
Baby,5.0,Absolutely love it!,"I was so excited when I purchased this that I brought it home and attached it to the crib immediately.  It was so easy to put together and even easier at entertaining my daughter.  The colors are so vibrant and the animals just loveable.  The music is soothing with the volume just loud enough for sensitive baby ears.  I can lay my daughter down in her crib and her rainforest friends keep her busy while I get things done.  She smiles at them and talks to them and it is such pure joy watching it.  I don't know who enjoys this mobile more.....baby, my husband, or myself.  It is a must have for all families."
